Date : 2023-02-11 12:42:30
Directory : /Users/andrew/Dev/fun_projects/svelteGame
Total : 76 files,  9839 codes, 827 comments, 413 blanks, all 11079 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      6,175 |          0 |          5 |      6,180 |
| JavaScript         |         22 |      1,396 |        372 |         25 |      1,793 |
| TypeScript         |         19 |      1,155 |        336 |        207 |      1,698 |
| Svelte             |         23 |      1,050 |         24 |        148 |      1,222 |
| JSON with Comments |          2 |         24 |         94 |          9 |        127 |
| Markdown           |          1 |         24 |          0 |         15 |         39 |
| HTML               |          1 |         12 |          1 |          1 |         14 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
| Properties         |          2 |          0 |          0 |          2 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         76 |      9,839 |        827 |        413 |     11,079 |
| . (Files)                                                                                                                      |          4 |        156 |          9 |         36 |        201 |
| gameServer                                                                                                                     |         32 |      4,902 |        770 |        168 |      5,840 |
| gameServer (Files)                                                                                                             |          5 |      2,895 |         97 |         37 |      3,029 |
| gameServer/build                                                                                                               |         17 |      1,335 |        367 |         17 |      1,719 |
| gameServer/build (Files)                                                                                                       |          2 |         25 |          0 |          2 |         27 |
| gameServer/build/gameServer                                                                                                    |         15 |      1,310 |        367 |         15 |      1,692 |
| gameServer/build/gameServer (Files)                                                                                            |          1 |        238 |         13 |          1 |        252 |
| gameServer/build/gameServer/src                                                                                                |         14 |      1,072 |        354 |         14 |      1,440 |
| gameServer/build/gameServer/src (Files)                                                                                        |          9 |        752 |        118 |          9 |        879 |
| gameServer/build/gameServer/src/database                                                                                       |          3 |        137 |        232 |          3 |        372 |
| gameServer/build/gameServer/src/socket                                                                                         |          2 |        183 |          4 |          2 |        189 |
| gameServer/src                                                                                                                 |         10 |        672 |        306 |        114 |      1,092 |
| gameServer/src (Files)                                                                                                         |          6 |        388 |         70 |         65 |        523 |
| gameServer/src/database                                                                                                        |          3 |        107 |        232 |         21 |        360 |
| gameServer/src/socket                                                                                                          |          1 |        177 |          4 |         28 |        209 |
| svelte                                                                                                                         |         40 |      4,781 |         48 |        209 |      5,038 |
| svelte (Files)                                                                                                                 |         10 |      3,621 |         15 |         26 |      3,662 |
| svelte/src                                                                                                                     |         30 |      1,160 |         33 |        183 |      1,376 |
| svelte/src (Files)                                                                                                             |          4 |         60 |          8 |         20 |         88 |
| svelte/src/components                                                                                                          |         17 |        855 |         21 |        121 |        997 |
| svelte/src/components (Files)                                                                                                  |          8 |        676 |         11 |         84 |        771 |
| svelte/src/components/game                                                                                                     |          1 |          8 |          0 |          5 |         13 |
| svelte/src/components/inputs                                                                                                   |          3 |         18 |          0 |          3 |         21 |
| svelte/src/components/mobileView                                                                                               |          3 |         71 |          7 |         10 |         88 |
| svelte/src/components/modals                                                                                                   |          2 |         82 |          3 |         19 |        104 |
| svelte/src/lib                                                                                                                 |          1 |         37 |          0 |         10 |         47 |
| svelte/src/routes                                                                                                              |          8 |        208 |          4 |         32 |        244 |
| svelte/src/routes (Files)                                                                                                      |          5 |         73 |          2 |         16 |         91 |
| svelte/src/routes/room                                                                                                         |          3 |        135 |          2 |         16 |        153 |
| svelte/src/routes/room (Files)                                                                                                 |          1 |        122 |          1 |         10 |        133 |
| svelte/src/routes/room/join                                                                                                    |          2 |         13 |          1 |          6 |         20 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/andrew/Dev/fun_projects/svelteGame/.env                                                                                 | Properties         |          0 |          0 |          1 |          1 |
| /Users/andrew/Dev/fun_projects/svelteGame/default.ts                                                                           | TypeScript         |         13 |          0 |          0 |         13 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/.env                                                                      | Properties         |          0 |          0 |          1 |          1 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/index.js                                                 | JavaScript         |        238 |         13 |          1 |        252 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/        gameServer.emitUpdateRoom(this.roomCode);.js | JavaScript         |        101 |          9 |          1 |        111 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Game copy.js                                         | JavaScript         |        100 |         35 |          1 |        136 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/Game.js                                              | JavaScript         |        135 |         48 |          1 |        184 |
| /Users/andrew/Dev/fun_projects/svelteGame/gameServer/build/gameServer/src/GameServer.js                                        | JavaScript         |        139 |         10 |          1 |        150 |
